Symbol,AtomicNumber,Name,Category,Electronegativity,IonizationEnergy_eV,AtomicMass,BoilingPoint_K,MeltingPoint_K,IsMetal
H,1,Hydrogen,No Metal,2.2,13.598,1.008,20.28,13.81,False
He,2,Helium,No Metal,0.0008034026,24.587,4.0026,4.22,0.95,False
Li,3,Lithium,Metal,0.98,5.392,7.0,1615.0,453.65,True
Be,4,Beryllium,Metal,1.57,9.323,9.012183,2744.0,1560.0,True
B,5,Boron,Metal,2.04,8.298,10.81,4273.0,2348.0,True
C,6,Carbon,No Metal,2.55,11.26,12.011,4098.0,3823.0,False
N,7,Nitrogen,No Metal,3.04,14.534,14.007,77.36,63.15,False
O,8,Oxygen,No Metal,3.44,13.618,15.999,90.2,54.36,False
F,9,Fluorine,No Metal,3.98,17.423,18.998404,85.03,53.53,False
Ne,10,Neon,No Metal,0.0013031856,21.565,20.18,27.07,24.56,False
Na,11,Sodium,Metal,0.93,5.139,22.989769,1156.0,370.95,True
Mg,12,Magnesium,Metal,1.31,7.646,24.305,1363.0,923.0,True
Al,13,Aluminum,Metal,1.61,5.986,26.981539,2792.0,933.437,True
Si,14,Silicon,Metal,1.9,8.152,28.085,3538.0,1687.0,True
P,15,Phosphorus,No Metal,2.19,10.487,30.973763,553.65,317.3,False
S,16,Sulfur,No Metal,2.58,10.36,32.07,717.75,388.36,False
Cl,17,Chlorine,No Metal,3.16,12.968,35.45,239.11,171.65,False
Ar,18,Argon,No Metal,0.0007324219,15.76,39.9,87.3,83.8,False
K,19,Potassium,Metal,0.82,4.341,39.0983,1032.0,336.53,True
Ca,20,Calcium,Metal,1.0,6.113,40.08,1757.0,1115.0,True
Sc,21,Scandium,Metal,1.36,6.561,44.95591,3109.0,1814.0,True
Ti,22,Titanium,Metal,1.54,6.828,47.867,3560.0,1941.0,True
V,23,Vanadium,Metal,1.63,6.746,50.9415,3680.0,2183.0,True
Cr,24,Chromium,Metal,1.66,6.767,51.996,2944.0,2180.0,True
Mn,25,Manganese,Metal,1.55,7.434,54.93804,2334.0,1519.0,True
Fe,26,Iron,Metal,1.83,7.902,55.84,3134.0,1811.0,True
Co,27,Cobalt,Metal,1.88,7.881,58.93319,3200.0,1768.0,True
Ni,28,Nickel,Metal,1.91,7.64,58.693,3186.0,1728.0,True
Cu,29,Copper,Metal,1.9,7.726,63.55,2835.0,1357.77,True
Zn,30,Zinc,Metal,1.65,9.394,65.4,1180.0,692.68,True
Ga,31,Gallium,Metal,1.81,5.999,69.723,2477.0,302.91,True
Ge,32,Germanium,Metal,2.01,7.9,72.63,3106.0,1211.4,True
As,33,Arsenic,Metal,2.18,9.815,74.92159,887.0,,True
Se,34,Selenium,No Metal,2.55,9.752,78.97,958.0,493.65,False
Br,35,Bromine,No Metal,2.96,11.814,79.9,331.95,265.95,False
Kr,36,Krypton,No Metal,3.0,14.0,83.8,119.93,115.79,False
Rb,37,Rubidium,Metal,0.82,4.177,85.468,961.0,312.46,True
Sr,38,Strontium,Metal,0.95,5.695,87.62,1655.0,1050.0,True
Y,39,Yttrium,Metal,1.22,6.217,88.90584,3618.0,1795.0,True
Zr,40,Zirconium,Metal,1.33,6.634,91.22,4682.0,2128.0,True
Nb,41,Niobium,Metal,1.6,6.759,92.90637,5017.0,2750.0,True
Mo,42,Molybdenum,Metal,2.16,7.092,95.95,4912.0,2896.0,True
Tc,43,Technetium,Metal,1.9,7.28,96.90636,4538.0,2430.0,True
Ru,44,Ruthenium,Metal,2.2,7.361,101.1,4423.0,2607.0,True
Rh,45,Rhodium,Metal,2.28,7.459,102.9055,3968.0,2237.0,True
Pd,46,Palladium,Metal,2.2,8.337,106.42,3236.0,1828.05,True
Ag,47,Silver,Metal,1.93,7.576,107.868,2435.0,1234.93,True
Cd,48,Cadmium,Metal,1.69,8.994,112.41,1040.0,594.22,True
In,49,Indium,Metal,1.78,5.786,114.818,2345.0,429.75,True
Sn,50,Tin,Metal,1.96,7.344,118.71,2875.0,505.08,True
Sb,51,Antimony,Metal,2.05,8.64,121.76,1860.0,903.78,True
Te,52,Tellurium,Metal,2.1,9.01,127.6,1261.0,722.66,True
I,53,Iodine,No Metal,2.66,10.451,126.9045,457.55,386.85,False
Xe,54,Xenon,No Metal,2.6,12.13,131.29,165.03,161.36,False
Cs,55,Cesium,Metal,0.79,3.894,132.90546,944.0,301.59,True
Ba,56,Barium,Metal,0.89,5.212,137.33,2170.0,1000.0,True
La,57,Lanthanum,Metal,1.1,5.577,138.9055,3737.0,1191.0,True
Ce,58,Cerium,Metal,1.12,5.539,140.116,3697.0,1071.0,True
Pr,59,Praseodymium,Metal,1.13,5.464,140.90765,3793.0,1204.0,True
Nd,60,Neodymium,Metal,1.14,5.525,144.24,3347.0,1294.0,True
Pm,61,Promethium,Metal,9.522537e-05,5.55,144.91277,3273.0,1315.0,True
Sm,62,Samarium,Metal,1.17,5.644,150.4,2067.0,1347.0,True
Eu,63,Europium,Metal,0.00010097789,5.67,151.964,1802.0,1095.0,True
Gd,64,Gadolinium,Metal,1.2,6.15,157.25,3546.0,1586.0,True
Tb,65,Terbium,Metal,0.00010097789,5.864,158.92535,3503.0,1629.0,True
Dy,66,Dysprosium,Metal,1.22,5.939,162.5,2840.0,1685.0,True
Ho,67,Holmium,Metal,1.23,6.022,164.93033,2973.0,1747.0,True
Er,68,Erbium,Metal,1.24,6.108,167.26,3141.0,1802.0,True
Tm,69,Thulium,Metal,1.25,6.184,168.93422,2223.0,1818.0,True
Yb,70,Ytterbium,Metal,9.8615914e-05,6.254,173.05,1469.0,1092.0,True
Lu,71,Lutetium,Metal,1.27,5.426,174.9667,3675.0,1936.0,True
Hf,72,Hafnium,Metal,1.3,6.825,178.49,4876.0,2506.0,True
Ta,73,Tantalum,Metal,1.5,7.89,180.9479,5731.0,3290.0,True
W,74,Tungsten,Metal,2.36,7.98,183.84,5828.0,3695.0,True
Re,75,Rhenium,Metal,1.9,7.88,186.207,5869.0,3459.0,True
Os,76,Osmium,Metal,2.2,8.7,190.2,5285.0,3306.0,True
Ir,77,Iridium,Metal,2.2,9.1,192.22,4701.0,2719.0,True
Pt,78,Platinum,Metal,2.28,9.0,195.08,4098.0,2041.55,True
Au,79,Gold,Metal,2.54,9.226,196.96657,3129.0,1337.33,True
Hg,80,Mercury,Metal,2.0,10.438,200.59,629.88,234.32,True
Tl,81,Thallium,Metal,1.62,6.108,204.383,1746.0,577.0,True
Pb,82,Lead,Metal,2.33,7.417,207.0,2022.0,600.61,True
Bi,83,Bismuth,Metal,2.02,7.289,208.9804,1837.0,544.55,True
Po,84,Polonium,Metal,2.0,8.417,208.98244,1235.0,527.0,True
At,85,Astatine,No Metal,2.2,9.5,209.98715,,575.0,False
Rn,86,Radon,No Metal,0.00040914502,10.745,222.01758,211.45,202.0,False
Fr,87,Francium,Metal,0.7,3.9,223.01973,,300.0,True
Ra,88,Radium,Metal,0.9,5.279,226.0254,1413.0,973.0,True
Ac,89,Actinium,Metal,1.1,5.17,227.02776,3471.0,1324.0,True
Th,90,Thorium,Metal,1.3,6.08,232.038,5061.0,2023.0,True
Pa,91,Protactinium,Metal,1.5,5.89,231.03587,,1845.0,True
U,92,Uranium,Metal,1.38,6.194,238.0289,4404.0,1408.0,True
Np,93,Neptunium,Metal,1.36,6.266,237.04817,4175.0,917.0,True
